founders type generation contribution sex
F0004 genetic gen1 NA female
F0004 genetic gen4 0.0111111111111111 female
F0004 genealogical gen4 0.0204081632653061 female
F0004 genetic gen3 0.00578034682080925 female
F0004 genealogical gen1 NA female
F0004 genealogical gen2 0.0204081632653061 female
F0005 genealogical gen4 0.0204081632653061 female
F0005 genetic gen4 0.0111111111111111 female
F0005 genetic gen1 NA female
F0005 genealogical gen1 NA female
F0005 genetic gen2 NA female
F0005 genealogical gen2 0.0204081632653061 female
F0005 genetic gen3 0.00578034682080925 female
F0005 genealogical gen3 0.0204081632653061 female
F0006 genetic gen4 0.0166666666666667 female
F0006 genealogical gen1 NA female
F0006 genetic gen3 0.00867052023121387 female
F0006 genetic gen1 NA female
F0006 genetic gen2 NA female
F0006 genealogical gen2 0.0306122448979592 female
F0006 genealogical gen3 0.0306122448979592 female
F0006 genealogical gen4 0.0306122448979592 female
F0007 genetic gen4 0.0361111111111111 female
F0007 genealogical gen1 NA female
F0007 genetic gen1 NA female
F0007 genealogical gen3 0.068361448625693 female
F0007 genetic gen2 NA female
F0007 genetic gen3 0.0187861271676301 female
F0007 genealogical gen4 0.101694781959026 female
F0007 genealogical gen2 0.0510204081632653 female
F0008 genealogical gen2 0.0510204081632653 female
F0008 genealogical gen3 0.0568007549840746 female
F0008 genealogical gen1 0 female
F0008 genealogical gen4 0.0679118660951857 female
F0008 genetic gen3 0.0158959537572254 female
F0008 genetic gen2 0.0280612244897959 female
F0008 genetic gen4 0.0305555555555556 female
F0008 genetic gen1 0 female
F0009 genealogical gen2 0.0918367346938776 female
F0009 genealogical gen3 0.184322283826826 female
F0009 genealogical gen4 0.362100061604603 female
F0009 genetic gen4 0.0958333333333333 female
F0009 genealogical gen1 0 female
F0009 genetic gen1 0 female
F0009 genetic gen3 0.0498554913294798 female
F0009 genetic gen2 0.0880102040816327 female
F0010 genealogical gen3 0.0204081632653061 female
F0010 genealogical gen1 NA female
F0010 genealogical gen2 0.0204081632653061 female
F0010 genealogical gen4 0.0204081632653061 female
F0010 genetic gen2 NA female
F0010 genetic gen4 0.0111111111111111 female
F0010 genetic gen3 0.00578034682080925 female
F0010 genetic gen1 NA female
F0011 genetic gen4 0.0111111111111111 female
F0011 genetic gen3 NA female
F0011 genealogical gen1 NA female
F0011 genetic gen1 NA female
F0011 genealogical gen4 0 female
F0011 genetic gen2 NA female
F0011 genealogical gen3 0 female
F0011 genealogical gen2 NA female
F0012 genealogical gen2 NA female
F0012 genetic gen2 NA female
F0012 genetic gen4 0.0166666666666667 female
F0012 genealogical gen3 0 female
F0012 genealogical gen1 NA female
F0012 genetic gen1 NA female
F0012 genetic gen3 NA female
F0012 genealogical gen4 0 female
F0013 genealogical gen1 NA female
F0013 genealogical gen2 0.0408163265306122 female
F0013 genealogical gen3 0.081278754276277 female
F0013 genetic gen4 0.0416666666666667 female
F0013 genealogical gen4 0.159056532054055 female
F0013 genetic gen1 NA female
F0013 genetic gen3 0.0216763005780347 female
F0013 genetic gen2 NA female
F0014 genealogical gen2 NA female
F0014 genetic gen4 0.0222222222222222 female
F0014 genealogical gen1 NA female
F0014 genetic gen3 NA female
F0014 genetic gen1 NA female
F0014 genealogical gen4 0 female
F0014 genetic gen2 NA female
F0014 genealogical gen3 0 female
F0015 genealogical gen2 NA female
F0015 genealogical gen3 0 female
F0015 genealogical gen4 0 female
F0015 genealogical gen1 NA female
F0015 genetic gen4 0.0111111111111111 female
F0015 genetic gen2 NA female
F0015 genetic gen1 NA female
F0015 genetic gen3 NA female
F0016 genealogical gen3 0.0670048366167276 female
F0016 genetic gen4 0.0361111111111111 female
F0016 genealogical gen4 0.0781159477278387 female
F0016 genealogical gen2 0.0612244897959184 female
F0016 genetic gen3 0.0187861271676301 female
F0016 genealogical gen1 NA female
F0016 genetic gen2 NA female
F0016 genetic gen1 NA female
F0017 genealogical gen4 0 female
F0017 genealogical gen3 0 female
F0017 genetic gen4 0.0111111111111111 female
F0017 genealogical gen2 NA female
F0017 genetic gen3 NA female
F0017 genetic gen1 NA female
F0017 genealogical gen1 NA female
F0017 genetic gen2 NA female
F0018 genealogical gen2 0.0204081632653061 female
F0018 genealogical gen4 0.0204081632653061 female
F0018 genealogical gen3 0.0204081632653061 female
F0018 genealogical gen1 NA female
F0018 genetic gen4 0.0111111111111111 female
F0018 genetic gen1 NA female
F0018 genetic gen2 NA female
F0018 genetic gen3 0.00578034682080925 female
F0019 genealogical gen3 0 female
F0019 genealogical gen2 NA female
F0019 genealogical gen4 0 female
F0019 genetic gen1 NA female
F0019 genealogical gen1 NA female
F0019 genetic gen2 NA female
F0019 genetic gen3 NA female
F0019 genetic gen4 0.0111111111111111 female
F0020 genetic gen2 NA female
F0020 genealogical gen3 0.0408163265306122 female
F0020 genetic gen1 NA female
F0020 genealogical gen4 0.0408163265306122 female
F0020 genealogical gen2 0.0408163265306122 female
F0020 genetic gen4 0.0222222222222222 female
F0020 genealogical gen1 NA female
F0020 genetic gen3 0.0115606936416185 female
F0021 genetic gen1 NA female
F0021 genealogical gen2 0.0204081632653061 female
F0021 genealogical gen4 0.0204081632653061 female
F0021 genetic gen4 0.0111111111111111 female
F0021 genetic gen2 NA female
F0021 genealogical gen1 NA female
F0021 genealogical gen3 0.0204081632653061 female
F0021 genetic gen3 0.00578034682080925 female
F0022 genetic gen3 0.00578034682080925 female
F0022 genetic gen2 NA female
F0022 genealogical gen3 0.0204081632653061 female
F0022 genetic gen1 NA female
F0022 genealogical gen4 0.0204081632653061 female
F0022 genetic gen4 0.0111111111111111 female
F0022 genealogical gen2 0.0204081632653061 female
F0022 genealogical gen1 NA female
F0023 genetic gen1 NA female
F0023 genealogical gen2 0.0510204081632653 female
F0023 genetic gen3 0.0158959537572254 female
F0023 genetic gen2 NA female
F0023 genealogical gen3 0.0568007549840746 female
F0023 genealogical gen4 0.0679118660951857 female
F0023 genealogical gen1 NA female
F0023 genetic gen4 0.0305555555555556 female
F0024 genealogical gen3 0.0261885100861154 female
F0024 genetic gen3 0.00722543352601156 female
F0024 genealogical gen4 0.0372996211972265 female
F0024 genetic gen1 NA female
F0024 genetic gen2 NA female
F0024 genealogical gen1 NA female
F0024 genetic gen4 0.0138888888888889 female
F0024 genealogical gen2 0.0204081632653061 female
F0025 genealogical gen4 0.0577077844625326 female
F0025 genetic gen3 0.0130057803468208 female
F0025 genealogical gen1 NA female
F0025 genetic gen1 NA female
F0025 genetic gen2 NA female
F0025 genealogical gen2 0.0408163265306122 female
F0025 genetic gen4 0.025 female
F0025 genealogical gen3 0.0465966733514215 female
F0026 genealogical gen4 0 female
F0026 genealogical gen2 NA female
F0026 genealogical gen1 NA female
F0026 genealogical gen3 0 female
F0026 genetic gen1 NA female
F0026 genetic gen3 NA female
F0026 genetic gen4 0.0111111111111111 female
F0026 genetic gen2 NA female
F0027 genetic gen2 NA female
F0027 genealogical gen1 NA female
F0027 genetic gen1 NA female
F0027 genetic gen3 0.00867052023121387 female
F0027 genetic gen4 0.0166666666666667 female
F0027 genealogical gen2 0.0306122448979592 female
F0027 genealogical gen3 0.0306122448979592 female
