Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_349	1540025	f	ad	July	2017	2017/2018	2016	Plot	0
Af_350	341586	f	juv	July	2017	2017/2018	2017	Plot	0
Af_351	1315889	f	NA	July	2016	2016/2017	NA	Plot	0
Af_352	341686	m	ad	July	2017	2017/2018	2016	Plot	0
Af_353	341695	f	ad	July	2017	2017/2018	2016	Plot	0
Af_354	1329047	m	juv	July	2016	2016/2017	2016	Plot	0
Af_355	1315877	f	juv	July	2016	2016/2017	2016	Plot	0
Af_356	341674	f	juv	July	2017	2017/2018	2017	Plot	0
Af_357	341656	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_358	341643	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_359	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_360	1566868	f	NA	Oct	2017	2017/2018	NA	Plot	1
Af_361	1566877	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_362	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_363	1567506	m	juv?	July	2018	2018/2019	2018	Plot	0
Af_364	342224	m	ad	Apr	2018	2018/2019	2017	Plot	0
Af_365	1329024	m	NA	Dec	2017	2017/2018	NA	Plot	0
Af_366	1566880	f	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_367	341703	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_368	342222	m	ad	Apr	2018	2018/2019	2017	Plot	0
Af_369	341743	m	NA	Oct	2016	2016/2017	NA	Plot	1
Af_370	341667	f	NA	July	2017	2017/2018	NA	Plot	0
Af_371	341636	f	NA	July	2017	2017/2018	NA	Plot	0
Af_372	342420	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_373	341784	m	juv?	Sep	2016	2016/2017	2016	Plot	1
Af_374	1566878	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_375	1566893	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_376	1566884	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_377	1194190	f	ad	July	2016	2016/2017	2015	Plot	0
Af_378	341610	m	juv	July	2017	2017/2018	2016	Plot	0
Af_379	1316216	f	ad	July	2016	2016/2017	2015	Plot	0
Af_380	341738	f	ad	Apr	2017	2017/2018	2016	Plot	1
Af_381	341791	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_382	1566883	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_383	341708	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_384	1566886	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_385	341719	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_386	1566904	m	ad?	Feb	2018	2017/2018	2017	Plot	0
Af_387	341865	m	juv	Sep	2016	2016/2017	2016	Plot	0
Af_388	NA	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_389	1315891	f	juv	July	2016	2016/2017	2016	Plot	0
Af_390	341838	f	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_391	342257	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_392	1566858	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_393	1566909	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_394	341454	m	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_395	341707	m	juv	July	2017	2017/2018	2017	Plot	0
Af_396	341587	f	juv	July	2017	2017/2018	2017	Plot	0
Af_397	341724	m	ad	Apr	2017	2018/2019	2016	Plot	0
Af_398	341872	m	ad	July	2016	2016/2017	2015	Plot	0
Af_399	1540255	m	juv	July	2017	2017/2018	2017	Plot	0
Af_400	1566911	f	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_401	1566908	f	ad?	Oct	2017	2017/2018	2016	Plot	0
