Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_50	342230	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_51	341307	m	NA	Dec	2016	2016/2017	NA	Plot	0
Af_52	1194886	m	juv?	July	2016	2016/2017	2016	Plot	0
Af_53	1315503	f	ad	July	2016	2016/2017	2015	Plot	0
Af_54	341582	f	juv?	July	2017	2017/2018	2017	Plot	0
Af_55	1316219	m	juv?	July	2016	2016/2017	2016	Plot	0
Af_56	341651	m	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_57	342415	f	ad	Oct	2016	2016/2017	2015	Plot	1
Af_58	1316346	m	ad	July	2016	2016/2017	2015	Plot	0
Af_59	342243	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_60	1540333	f	juv	July	2017	2017/2018	2017	Plot	0
Af_61	342228	m	juv	Oct	2016	2016/2017	2016	Plot	1
Af_62	342226	f	juv	Sep	2016	2016/2017	2016	Plot	1
Af_63	1329710	m	juv	July	2016	2016/2017	2016	Plot	0
Af_64	1329698	m	juv?	Nov	2016	2016/2017	2016	Plot	0
Af_65	341902	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_66	342247	f	juv?	Oct	2016	2016/2017	2016	Plot	1
Af_67	342405	m	juv	Oct	2016	2016/2017	2016	Plot	0
Af_68	341305	f	NA	Dec	2016	2016/2017	NA	Plot	0
Af_69	341786	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_70	341764	f	juv?	Feb	2017	2016/2017	NA	Plot	0
Af_71	342258	m	NA	Sep	2016	2016/2017	NA	Plot	0
Af_72	341816	f	NA	Dec	2016	2016/2017	NA	Plot	0
Af_73	342244	f	juv?	Oct	2016	2016/2017	2016	Plot	1
Af_74	341794	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_75	341908	m	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_76	341778	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_77	341910	m	NA	Sep	2016	2016/2017	NA	Plot	0
Af_78	341824	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_79	341754	m	NA	Oct	2016	2016/2017	NA	Plot	1
Af_80	341812	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_81	342239	f	juv?	Dec	2016	2016/2017	2016	Plot	0
Af_82	342251	f	ad	July	2016	2016/2017	2015	Plot	1
Af_83	341302	m	NA	Dec	2016	2016/2017	NA	Plot	0
Af_84	341744	m	NA	Nov	2016	2016/2017	NA	Plot	0
Af_85	341876	m	juv	Sep	2016	2016/2017	2016	Plot	0
Af_86	341801	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_87	341759	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_88	341647	m	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_89	341311	m	NA	Dec	2016	2016/2017	NA	Plot	0
Af_90	341755	m	NA	Nov	2017	2016/2017	NA	Plot	0
Af_91	341874	m	NA	Sep	2016	2016/2017	NA	Plot	0
Af_92	341830	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_93	342241	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_94	342249	m	ad	Oct	2016	2016/2017	2015	Plot	0
Af_95	342233	m	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_96	342255	f	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_97	341805	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_98	341303	m	ad?	Nov	2016	2016/2017	2015	Plot	1
Af_99	341780	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_100	342225	m	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_101	342260	f	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_102	341916	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_103	341803	f	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_104	341917	f	juv	Sep	2016	2016/2017	2016	Plot	0
Af_105	341752	m	juv	Oct	2016	2016/2017	2016	Plot	1
Af_106	341774	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_107	341775	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_108	342232	m	ad	Oct	2016	2016/2017	2015	Plot	0
Af_109	341817	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_110	342227	m	juv	Oct	2016	2016/2017	2016	Plot	1
Af_111	341308	m	ad?	Oct	2016	2016/2017	2015	Plot	1
Af_112	342237	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_113	341828	f	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_114	342221	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_115	341792	f	NA	Oct	2016	2016/2017	NA	Plot	1
Af_116	341316	m	ad?	Feb	2017	2016/2017	2016	Plot	0
Af_117	342245	m	ad	Oct	2016	2016/2017	2015	Plot	0
Af_118	341814	m	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_119	341773	f	NA	Feb	2017	2016/2017	NA	Plot	0
Af_120	341747	f	NA	Feb	2017	2016/2017	NA	Plot	0
Af_121	341915	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_122	341795	m	juv	Oct	2016	2016/2017	2016	Plot	1
Af_123	341645	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_124	341758	m	ad?	Feb	2017	2016/2017	2016	Plot	0
Af_125	341861	m	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_126	342234	f	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_127	341301	m	NA	Feb	2017	2016/2017	NA	Plot	1
Af_128	341746	m	ad?	Dec	2016	2016/2017	2015	Plot	0
Af_129	342229	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_130	341318	m	ad?	Dec	2016	2016/2017	2015	Plot	0
Af_131	341310	m	NA	Dec	2016	2016/2017	NA	Plot	1
Af_132	341829	m	juv	Oct	2016	2016/2017	2016	Plot	0
Af_133	1329704	f	juv	July	2016	2016/2017	2016	Plot	0
Af_134	341920	f	ad	Sep	2016	2016/2017	2015	Plot	0
Af_135	1316220	m	juv	July	2016	2016/2017	2016	Plot	0
Af_136	341789	m	juv	Oct	2016	2016/2017	2016	Plot	0
Af_137	1316336	m	juv	July	2016	2016/2017	2016	Plot	0
Af_138	342404	f	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_139	342402	m	ad	Sep	2016	2016/2017	2016	Plot	1
Af_140	341806	m	ad?	Dec	2016	2016/2017	2015	Plot	0
Af_141	341760	f	NA	Feb	2017	2016/2017	NA	Plot	0
Af_142	342238	f	juv?	Dec	2016	2016/2017	2016	Plot	0
Af_143	1316211	m	juv	July	2016	2016/2017	2016	Plot	0
Af_144	341867	f	juv	Oct	2016	2016/2017	2016	Plot	1
Af_145	341314	m	NA	Dec	2016	2016/2017	NA	Plot	1
Af_146	341832	m	NA	Dec	2016	2016/2017	NA	Plot	0
Af_147	341763	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_148	341804	m	ad	Dec	2016	2016/2017	2015	Plot	1
Af_149	341808	m	juv	Oct	2016	2016/2017	2016	Plot	1
Af_150	341823	f	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_151	1316252	m	ad	Dec	2016	2016/2017	2015	Plot	1
Af_152	341779	m	ad?	Dec	2016	2016/2017	2015	Plot	0
Af_153	341825	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_154	341834	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_155	1329701	m	juv	July	2016	2016/2017	2016	Plot	0
Af_156	341772	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_157	342236	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_158	1315894	m	ad	July	2016	2016/2017	2015	Plot	0
Af_159	342254	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_160	1329044	f	ad	July	2016	2016/2017	2015	Plot	0
Af_161	342407	f	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_162	1316205	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_163	341658	m	juv	Oct	2016	2016/2017	2016	Plot	0
Af_164	342235	m	juv	July	2016	2016/2017	2016	Plot	0
Af_165	341873	f	juv	Sep	2016	2016/2017	2016	Plot	0
Af_166	1316343	m	ad	July	2016	2016/2017	2015	Plot	0
Af_167	1316341	f	juv	July	2016	2016/2017	2016	Plot	0
Af_168	341742	m	NA	Dec	2016	2016/2017	NA	Plot	1
Af_169	342403	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_170	341836	f	ad	Sep	2016	2016/2017	2015	Plot	0
Af_171	341777	m	ad?	Feb	2017	2016/2017	2016	Plot	0
Af_172	342253	m	ad	Sep	2016	2016/2017	2015	Plot	1
Af_173	341905	f	ad?	Feb	2017	2016/2017	2016	Plot	0
Af_174	1329700	m	juv	Sep	2016	2016/2017	2016	Plot	0
Af_175	341729	m	NA	Feb	2017	2016/2017	NA	Plot	0
Af_176	341911	m	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_177	1315513	m	ad	July	2016	2016/2017	2015	Plot	0
Af_178	341797	m	juv	Sep	2016	2016/2017	2016	Plot	0
Af_179	341754	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_180	341752	m	juv	Oct	2016	2016/2017	2016	Plot	0
Af_181	341867	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_182	341741	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_183	T20	f	NA	July	2016	2016/2017	NA	Plot	0
Af_184	N3	m	NA	July	2016	2016/2017	NA	Plot	0
Af_185	IBS5	m	NA	July	2016	2016/2017	NA	Institute	0
Af_186	X1	m	NA	July	2016	2016/2017	NA	Plot	0
Af_187	KAROL	f	NA	July	2016	2016/2017	NA	Podolany	0
Af_188	T17	m	NA	July	2016	2016/2017	NA	Plot	0
Af_189	P3	f	NA	Dec	2016	2016/2017	NA	Plot	0
Af_190	IBS6	f	NA	Dec	2016	2016/2017	NA	Institute	0
Af_191	T8	m	NA	Dec	2016	2016/2017	NA	Plot	0
Af_192	IBS7	m	NA	July	2016	2016/2017	NA	Institute	0
Af_193	IBS2	f	NA	July	2016	2016/2017	NA	Institute	0
Af_194	KAROL2	m	NA	July	2016	2016/2017	NA	Podolany	0
Af_195	P22	m	ad	July	2016	2016/2017	2015	Plot	0
Af_196	X2	m	NA	July	2016	2016/2017	NA	Plot	0
Af_197	M1	f	NA	July	2016	2016/2017	NA	Plot	0
Af_198	IBS3	f	NA	July	2016	2016/2017	NA	Institute	0
Af_199	1329714	f	juv	July	2016	2016/2017	2016	Plot	0
Af_200	NA	m	NA	July	2016	2016/2017	2016	Plot	1
Af_201	1566869	f	ad	Oct	2017	2017/2018	2016	Plot	0
Af_202	1566910	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_203	1566866	m	ad	Nov	2017	2017/2018	2016	Plot	0
Af_204	1566898	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_205	1566903	m	ad	Nov	2017	2017/2018	2016	Plot	0
Af_206	1316340	f	juv	July	2016	2016/2017	2016	Plot	0
Af_207	NA	m	ad	Sep	2016	2016/2017	2015	Plot	1
Af_208	341739	f	ad	Apr	2017	2017/2018	2016	Plot	0
Af_209	1539799	f	juv	July	2017	2017/2018	2017	Plot	0
Af_210	341898	m	NA	July	2017	2017/2018	NA	Plot	0
Af_211	341614	m	juv	July	2017	2017/2018	2017	Plot	0
Af_212	1315886	m	ad	July	2016	2016/2017	2015	Plot	0
Af_213	341782	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_214	1566899	m	juv?	Nov	2017	2017/2018	2017	Plot	0
Af_215	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_216	1316217	m	ad	July	2016	2016/2017	2015	Plot	0
Af_217	341799	m	juv	July	2016	2016/2017	2015	Plot	0
Af_218	341813	f	juv	July	2016	2016/2017	2016	Plot	0
Af_219	341875	m	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_220	341919	f	ad?	Sep	2016	2016/2017	2015	Plot	0
Af_221	341862	m	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_222	342418	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_223	341788	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_224	341835	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_225	341833	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_226	NA	f	ad	Oct	2016	2016/2017	2015	Plot	1
Af_227	341821	m	juv	Oct	2016	2016/2017	2015	Plot	0
Af_228	341826	m	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_229	341911	m	juv?	Sep	2016	2016/2017	2016	Plot	1
Af_230	341706	f	juv	July	2017	2017/2018	2017	Plot	0
Af_231	341901	m	ad?	Sep	2016	2016/2017	2016	Plot	0
Af_232	1329017	m	NA	Dec	2017	2017/2018	NA	Plot	0
Af_233	341871	m	NA	Sep	2016	2016/2017	NA	Plot	0
Af_234	342416	f	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_235	341787	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_236	341783	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_237	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_238	341601	m	NA	July	2017	2017/2018	NA	Plot	0
Af_239	342412	m	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_240	341831	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_241	341877	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_242	341810	f	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_243	341904	f	juv	Sep	2016	2016/2017	2015	Plot	1
Af_244	341880	m	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_245	342228	m	juv	Oct	2016	2016/2017	2016	Plot	1
Af_246	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_247	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_248	341840	f	ad	Oct	2016	2016/2017	2015	Plot	0
Af_249	341580	f	juv	July	2017	2017/2018	2017	Plot	0
Af_250	341581	m	juv	July	2017	2017/2018	2017	Plot	0
Af_251	1539715	m	juv	July	2017	2017/2018	2017	Plot	0
Af_252	342259	m	juv	July	2016	2016/2017	2017	Plot	0
Af_253	341879	f	NA	Sep	2016	2016/2017	NA	Plot	0
Af_254	342406	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_255	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_256	341839	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_257	341822	m	juv	Oct	2016	2016/2017	2016	Plot	0
Af_258	341790	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_259	NA	m	ad	Oct	2016	2016/2017	2015	Plot	1
Af_260	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_261	341918	m	ad	Sep	2016	2016/2017	2015	Plot	0
Af_262	341909	f	NA	Oct	2016	2016/2017	NA	Plot	1
Af_263	342252	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_264	341819	m	NA	Oct	2016	2016/2017	NA	Plot	1
Af_265	341718	m	juv	July	2017	2017/2018	2017	Plot	0
Af_266	341654	m	juv?	Oct	2017	2017/2018	2017	Plot	0
Af_267	1566865	f	juv?	Oct	2017	2017/2018	2017	Plot	0
Af_268	341868	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_269	342411	f	juv?	Oct	2016	2016/2017	2016	Plot	1
Af_270	341593	m	juv	July	2017	2017/2018	2017	Plot	0
Af_271	341785	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_272	341597	m	juv	July	2017	2017/2018	2017	Plot	0
Af_273	341793	f	NA	Oct	2016	2016/2017	NA	Plot	0
Af_274	1566887	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_275	1566867	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_276	1329031	m	NA	Dec	2017	2017/2018	NA	Plot	1
Af_277	1566885	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_278	1329035	f	NA	Feb	2018	2017/2018	NA	Plot	0
Af_279	1566914	f	ad	Oct	2017	2017/2018	2016	Plot	0
Af_280	341781	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_281	341716	m	juv?	Oct	2017	2017/2018	2017	Plot	0
Af_282	1329033	m	NA	Feb	2018	2017/2018	NA	Plot	0
Af_283	1329022	f	NA	Feb	2018	2017/2018	NA	Plot	0
Af_284	1566912	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_285	1566888	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_286	1566871	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_287	1316233	m	ad	July	2016	2016/2017	2015	Plot	0
Af_288	341725	m	ad	Apr	2017	2017/2018	2016	Plot	0
Af_289	1315887	m	juv	July	2016	2016/2017	2016	Plot	0
Af_290	1315876	m	juv	July	2016	2016/2017	2016	Plot	0
Af_291	1316198	m	juv	July	2016	2016/2017	2016	Plot	0
Af_292	1329049	m	juv	July	2016	2016/2017	2016	Plot	0
Af_293	341846	f	NA	July	2017	2017/2018	NA	Plot	0
Af_294	1316234	m	ad?	July	2016	2016/2017	2015	Plot	0
Af_295	1316203	f	NA	July	2016	2016/2017	NA	Plot	0
Af_296	1329039	m	ad	July	2016	2016/2017	2015	Plot	0
Af_297	1329037	f	juv?	July	2016	2016/2017	2016	Plot	0
Af_298	1329048	f	juv	July	2016	2016/2017	2016	Plot	0
Af_299	341732	f	ad	Apr	2017	2017/2018	2016	Plot	0
Af_300	1329038	m	juv	July	2016	2016/2017	2016	Plot	0
Af_301	341599	f	juv	July	2017	2017/2018	2017	Plot	0
Af_302	341721	f	ad	Apr	2017	2017/2018	2016	Plot	0
Af_303	1566896	f	NA	Feb	2017	2017/2018	NA	Plot	0
Af_304	1566895	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_305	1315498	m	NA	July	2016	2016/2017	NA	Plot	0
Af_306	1316250	m	juv	July	2016	2016/2017	2016	Plot	0
Af_307	341627	f	ad	July	2017	2017/2018	2016	Plot	0
Af_308	341722	f	NA	Apr	2017	2017/2018	NA	Plot	0
Af_309	341854	f	ad	Apr	2017	2017/2018	2016	Plot	1
Af_310	1315893	m	NA	July	2016	2016/2017	NA	Plot	0
Af_311	1316223	m	ad	July	2016	2016/2017	2015	Plot	0
Af_312	341900	m	NA	July	2017	2017/2018	NA	Plot	0
Af_313	1329051	m	juv	July	2016	2016/2017	2016	Plot	0
Af_314	1316221	f	ad?	July	2016	2016/2017	2015	Plot	1
Af_315	1540163	m	juv	July	2017	2017/2018	2017	Plot	0
Af_316	1539892	m	ad	July	2017	2017/2018	2016	Plot	0
Af_317	1539962	m	juv	July	2017	2017/2018	2017	Plot	0
Af_318	341596	f	juv	July	2017	2017/2018	2017	Plot	0
Af_319	341728	m	NA	Feb	2017	2016/2017	NA	Plot	1
Af_320	1194890	m	juv	July	2016	2016/2017	2016	Plot	0
Af_321	1566876	f	ad?	Nov	2017	2017/2018	2016	Plot	0
Af_322	NA	m	NA	NA	NA	NA	NA	Plot	0
Af_323	1329708	m	ad	July	2016	2016/2017	2015	Plot	0
Af_324	341687	f	ad	July	2017	2017/2018	2016	Plot	0
Af_325	1316212	m	ad	July	2016	2016/2017	2015	Plot	0
Af_326	1316214	m	juv	July	2016	2016/2017	2016	Plot	0
Af_327	1316339	f	juv	July	2016	2016/2017	2016	Plot	0
Af_328	1329705	m	juv	Oct	2016	2016/2017	2016	Plot	1
Af_329	341661	f	NA	July	2017	2017/2018	NA	Plot	0
Af_330	1566861	f	ad	July	2017	2017/2018	2016	Plot	1
Af_331	1316344	f	juv	July	2016	2016/2017	2016	Plot	0
Af_332	1315892	f	ad	July	2016	2016/2017	2015	Plot	0
Af_333	1539975	m	juv	July	2017	2017/2018	2017	Plot	0
Af_334	1315895	m	juv	July	2016	2016/2017	2016	Plot	0
Af_335	1316249	f	ad	July	2016	2016/2017	2015	Plot	0
Af_336	1329713	m	ad	July	2016	2016/2017	2015	Plot	0
Af_337	341634	f	juv	July	2017	2017/2018	2017	Plot	0
Af_338	341469	f	ad	July	2017	2017/2018	2016	Plot	0
Af_339	1329030	m	NA	Dec	2017	2017/2018	NA	Plot	1
Af_340	341677	m	NA	July	2017	2017/2018	NA	Plot	0
Af_341	1316218	m	ad	July	2016	2016/2017	2015	Plot	0
Af_342	1316241	f	ad	July	2016	2016/2017	2015	Plot	1
Af_343	341637	m	ad	July	2017	2017/2018	2016	Plot	0
Af_344	341468	m	juv	July	2017	2017/2018	2017	Plot	0
Af_345	341731	f	ad	Apr	2017	2017/2018	2016	Plot	0
Af_346	1315889	f	juv	July	2016	2016/2017	2016	Plot	0
Af_347	1329709	f	ad	July	2016	2016/2017	2015	Plot	1
Af_348	1566900	f	NA	Oct	2017	2017/2018	NA	Plot	1
