sample	coverage_type	mean	stdev	max	n_reads	percentage
Af_110-149	primary	31.13	21.03	148	2537388	79.8
Af_111-550	primary	48.2	35.98	254	4178064	82.1
Af_115-262	primary	37.56	26.13	190	3211417	81.3
Af_11-84	primary	40.95	28.5	212	3292276	80.7
Af_122-328	primary	34.78	23.83	171	2897282	81.0
Af_127-319	primary	43.12	30.14	246	3752242	81.1
Af_131-168	primary	44.99	31.86	298	3897740	80.2
Af_139-172-207	primary	57.13	46.83	297	5636345	81.2
Af_144-181	primary	35.8	23.73	175	2923828	82.3
Af_145-200	primary	24.27	15.98	128	1953490	76.7
Af_148-151	primary	41.46	28.56	246	3489617	80.1
Af_16-634	primary	67.12	49.9	357	5866288	81.4
Af_176-229	primary	17.81	11.54	87	1330892	79.0
Af_177-615	primary	28.95	18.96	143	2389804	80.7
Af_178-28	primary	29.71	18.9	139	2344801	80.6
Af_179-79	primary	24.76	16.14	139	1866963	77.9
Af_182-499	primary	29.82	20.86	156	2484501	80.3
Af_21-243-62	primary	43.67	32.85	240	3699104	79.9
Af_226-57	primary	17.53	12.92	136	1284944	70.0
Af_22-660	primary	24.53	17	164	1945042	77.9
Af_23-604	primary	27.6	18.2	133	2239991	80.7
Af_245-61	primary	36.81	25.78	210	3041181	80.7
Af_259-42	primary	27.71	18.55	158	2194667	79.8
Af_264-369	primary	51.82	38.57	360	4768604	81.2
Af_269-66-73	primary	69.33	53.6	370	6533294	81.5
Af_276-339	primary	73.56	60.4	446	7184855	82.0
Af_309-380-482	primary	76.14	66.95	425	7887713	81.1
Af_314-641	primary	39.18	27.63	195	3294772	81.6
Af_330-645	primary	36.94	25.09	195	3040688	81.7
Af_342-633	primary	38.82	26.19	210	3192989	82.1
Af_347-82	primary	49.31	35.18	300	4204176	80.7
Af_348-360	primary	46.19	34.95	330	4042552	78.2
Af_373-7	primary	30.18	20.4	174	2399800	80.2
Af_413-594	primary	71.77	61.81	395	6845592	78.9
Af_416-479	primary	50.24	37.67	273	4502024	77.6
Af_477-98	primary	30.2	20.83	204	2432809	77.1
Af_47-605	primary	32.8	22.8	180	2767537	78.8
Af_489-593	primary	29.41	20.45	149	2358543	80.4
Af_501-551	primary	55.4	40.42	282	4842592	81.8
Af_523-547	primary	39.09	26.27	201	3242372	82.1
Af_527-543	primary	38.18	25.79	193	3114985	83.2
Af_539-647	primary	35.82	23.52	176	2997903	82.3
