sample	coverage_type	mean	stdev	max	n_reads	percentage
Af_430	secondary	44.21	30.37	350	2906725	88.3
Af_431	secondary	57.3	40.86	559	3948846	84.7
Af_432	secondary	59.94	42.88	629	3993564	86.8
Af_433	secondary	25.6	16.66	275	1587481	87.3
Af_434	secondary	35.2	25.5	473	2287191	84.0
Af_435	secondary	30.31	20.5	284	1951757	84.8
Af_436	secondary	24.91	15.69	202	1518461	88.1
Af_437	secondary	29.87	19.48	280	1892962	87.9
Af_438	secondary	26.07	15.3	302	1631477	87.2
Af_439	secondary	28.18	16.39	267	1798803	87.8
Af_44	secondary	15.1	8.47	108	825286	83.5
Af_440	secondary	29.75	17.53	346	1938426	84.2
Af_441	secondary	17.82	10.53	162	1071221	85.5
Af_442	secondary	20.88	12.15	180	1276505	86.7
Af_443	secondary	18.65	10.99	232	1136197	81.4
Af_444	secondary	17.19	9.79	149	1031398	86.7
Af_445	secondary	15.89	9.08	145	952029	85.4
Af_446	secondary	22.62	13.6	223	1396354	84.2
Af_447	secondary	23.01	13.57	236	1436087	85.1
Af_448	secondary	15.43	8.89	233	910069	81.7
Af_449	secondary	24.65	14.63	294	1546097	86.0
Af_45	secondary	28.59	17.36	417	1751078	79.6
Af_450	secondary	22.95	13.27	306	1421118	86.3
Af_451	secondary	28.2	16.24	295	1825239	86.7
Af_452	secondary	30.42	17.62	251	2000998	84.0
Af_453	secondary	22.48	13.99	176	1404722	86.0
Af_454	secondary	33.49	20.69	271	2171420	86.6
Af_455	secondary	40.03	25.42	439	2665576	85.1
Af_456	secondary	40.13	25.13	358	2631631	86.5
Af_457	secondary	24.52	15.21	261	1550808	85.6
Af_458	secondary	29.04	18.3	252	1891234	83.2
Af_459	secondary	36.59	23.85	279	2414929	87.1
Af_46	secondary	29.35	16.9	240	1818357	85.3
Af_460	secondary	24.07	14.41	276	1514911	86.6
Af_461	secondary	28.31	17.64	236	1823079	86.2
Af_462	secondary	23.99	14.26	268	1485503	80.9
Af_463	secondary	34.79	20.39	273	2298437	84.7
Af_464	secondary	15.6	8.57	162	959354	85.8
Af_465	secondary	19.35	11.7	157	1173527	85.3
Af_466	secondary	18.1	11.3	177	1084451	84.7
Af_467	secondary	42.06	26.25	426	2758027	85.6
Af_468	secondary	29.23	17.2	220	1856029	86.4
Af_469	secondary	19.02	11.4	196	1166265	85.7
Af_470	secondary	21.9	13.09	181	1360593	83.8
Af_471	secondary	17.93	10.47	137	1091086	84.0
Af_472	secondary	29.01	17.6	211	1857194	87.2
Af_473	secondary	23.16	13.61	201	1441878	87.3
Af_474	secondary	28.16	17.22	267	1793227	84.9
Af_475	secondary	39	23.23	342	2614687	87.2
Af_476	secondary	30.64	18.04	228	2013002	85.5
Af_478	secondary	41.99	26.18	385	2755448	84.9
Af_48	secondary	33	19.97	306	2097398	84.2
Af_480	secondary	38.9	23.32	296	2585876	85.6
Af_481	secondary	37.39	23.43	340	2501218	84.2
Af_483	secondary	35.51	22.27	358	2366742	83.1
Af_484	secondary	33.31	19.97	288	2178651	86.4
Af_485	secondary	38.07	23.11	384	2522310	86.1
Af_486	secondary	35.35	21.94	348	2283515	85.7
Af_487	secondary	47.24	28.22	364	3150180	85.6
Af_488	secondary	30.71	17.76	235	2003287	85.6
Af_49	secondary	26.51	14.86	255	1589145	88.2
Af_490	secondary	32.34	19.06	244	2046948	88.6
Af_491	secondary	27.87	15.9	198	1753607	88.7
Af_492	secondary	25.21	14.21	165	1571450	88.7
Af_493	secondary	27.75	16.2	221	1750401	85.5
Af_494	secondary	25.72	15.47	374	1601225	84.2
Af_495	secondary	25.49	14.91	206	1602602	88.8
Af_496	secondary	28.93	16.74	222	1810905	87.6
Af_497	secondary	20.76	11.88	188	1278618	85.4
Af_498	secondary	25.19	14.23	210	1580581	88.5
Af_5	secondary	11.14	6.15	112	584791	83.5
Af_50	secondary	13.34	7.12	107	728711	83.4
Af_500	secondary	41.75	24.8	301	2798957	88.2
Af_502	secondary	43.12	25.08	311	2854892	88.0
Af_503	secondary	39.62	23.08	318	2648278	84.6
Af_504	secondary	30.91	17.24	279	1978749	87.9
Af_505	secondary	23.98	13.39	219	1513697	86.7
Af_506	secondary	38.3	22.95	335	2558807	84.5
Af_507	secondary	34.46	20.33	410	2248159	84.9
Af_508	secondary	26.07	14.52	216	1642484	85.9
Af_509	secondary	27.14	15.08	239	1731923	86.8
Af_51	secondary	24.93	13.58	249	1490262	86.9
Af_510	secondary	16.56	9.19	180	993318	84.6
Af_511	secondary	47.89	28.03	354	3215404	88.5
Af_512	secondary	42.76	26.58	393	2906126	87.0
Af_513	secondary	25.85	14.53	195	1620536	89.3
Af_514	secondary	53.84	32.67	468	3572213	88.0
Af_516	secondary	33.78	18.85	227	2191050	88.8
Af_517	secondary	36.67	20.66	293	2368663	89.5
Af_518	secondary	21	11.78	168	1310830	87.4
Af_519	secondary	24.34	13.82	291	1521082	87.6
Af_520	secondary	22.33	12.28	190	1384695	88.5
Af_522	secondary	23.31	12.83	184	1458464	88.8
Af_524	secondary	85.63	55.2	742	6170216	88.4
Af_525	secondary	64.38	38.98	522	4472135	89.4
Af_526	secondary	41.13	25.07	296	2682950	89.8
Af_528	secondary	39.96	23.53	324	2592081	89.6
Af_529	secondary	33.15	19.54	279	2130123	89.5
Af_53	secondary	21.54	12.37	175	1276257	87.2
Af_530	secondary	38.06	23.99	338	2492260	89.5
Af_531	secondary	27.8	16.48	261	1759055	89.4
Af_532	secondary	38.82	25.63	287	2559599	88.9
Af_533	secondary	31.91	18.37	254	2048950	89.8
Af_534	secondary	34.67	20.36	349	2246302	88.5
Af_535	secondary	27.85	15.16	235	1767558	88.7
Af_536	secondary	65.25	40.04	580	4576222	89.1
Af_537	secondary	61.06	36.17	394	4224787	89.7
Af_538	secondary	21.23	12	173	1302584	89.2
Af_54	secondary	16.97	8.94	163	970552	86.6
Af_540	secondary	20.86	11.52	173	1274703	89.5
Af_541	secondary	29.36	17.13	265	1858905	87.9
Af_542	secondary	24.46	14.2	191	1521143	88.4
Af_544	secondary	24.19	13.64	184	1499238	88.9
Af_545	secondary	19	10.42	172	1152634	88.8
Af_546	secondary	14.94	7.97	126	878649	87.6
Af_548	secondary	9.42	5.62	94	448511	81.3
Af_549	secondary	7.26	3.89	77	304854	79.1
Af_55	secondary	29.48	17.05	241	1809800	87.6
Af_553	secondary	42.87	25.39	314	2813362	88.5
Af_554	secondary	34.32	20.24	373	2229399	89.1
Af_555	secondary	14.94	8.19	103	883616	86.7
Af_556	secondary	21.9	15.37	245	1425864	84.8
Af_557	secondary	24.36	13.99	233	1532426	84.3
Af_558	secondary	32.52	19.76	398	2115697	84.2
Af_559	secondary	16.26	9.08	145	981758	83.2
Af_56	secondary	20.03	11.66	191	1172265	84.7
Af_562	secondary	29.36	17.67	249	1860457	84.9
Af_563	secondary	30.81	17.81	234	1961139	89.2
Af_564	secondary	32.54	18.89	243	2092615	87.8
Af_565	secondary	39.29	23.21	374	2548203	87.3
Af_566	secondary	38.62	23.34	360	2549292	86.4
Af_567	secondary	20.11	12.02	185	1239840	83.0
Af_568	secondary	24.6	14.64	222	1561531	81.4
Af_572	secondary	40.76	30.38	454	3232608	85.2
Af_573	secondary	35.83	22.91	327	2406685	87.4
Af_574	secondary	34.27	21.32	335	2259950	87.9
Af_575	secondary	36.9	22.69	270	2396608	87.4
Af_576	secondary	50.03	31.32	424	3354310	87.7
Af_577	secondary	47.15	28.62	361	3154593	88.6
Af_578	secondary	53.29	35.73	548	3733839	84.0
Af_58	secondary	13.22	7.52	171	729288	81.0
Af_580	secondary	5.11	2.71	66	82198	45.8
Af_581	secondary	49.13	30.16	385	3286789	89.1
Af_582	secondary	41.87	25.6	316	2804454	87.6
Af_583	secondary	17.34	9.9	141	1092362	85.1
Af_584	secondary	48.51	32.15	411	3517676	87.3
Af_585	secondary	4.38	3.01	116	26070	34.6
Af_586	secondary	10.14	5.23	82	553437	84.4
Af_587	secondary	16.99	10.92	202	993449	85.4
Af_588	secondary	15.14	9.16	125	881088	83.3
Af_589	secondary	20.08	12.53	224	1213114	85.9
Af_59	secondary	13.37	8.36	161	737513	73.0
Af_590	secondary	25.65	16.29	244	1603402	85.3
Af_591	secondary	20.48	13.01	214	1238226	86.1
Af_592	secondary	14.2	8.47	153	816011	79.0
Af_595	secondary	37.92	22.17	305	2538683	88.1
Af_596	secondary	32	22.01	427	2083916	85.5
Af_597	secondary	42.01	29.5	316	2643523	89.1
Af_599	secondary	21.77	12.98	163	1389398	87.9
Af_6	secondary	17.77	9.28	170	1031690	87.9
Af_60	secondary	21.7	12.47	177	1277325	85.7
Af_600	secondary	22.27	12.96	172	1438535	87.2
Af_601	secondary	21.15	11.89	188	1361618	86.8
Af_602	secondary	28.26	16.35	228	1864739	88.0
Af_603	secondary	21.24	12.41	168	1352432	85.3
Af_607	secondary	30.03	17.5	300	1974728	86.6
Af_608	secondary	43.6	30.04	465	2898861	87.3
Af_609	secondary	58.54	40.88	413	3795151	89.0
Af_611	secondary	18.13	10.65	274	1139834	85.5
Af_612	secondary	17.18	9.31	149	1088416	86.9
Af_613	secondary	15.34	8.25	143	954589	87.7
Af_614	secondary	20.07	11.06	162	1286308	85.8
Af_616	secondary	13.39	7.35	117	810883	86.3
Af_617	secondary	13.89	7.63	140	850231	84.4
Af_618	secondary	77.17	48.97	576	5221784	88.6
Af_620	secondary	34.17	22.32	291	2238748	87.9
Af_621	secondary	57.66	40.04	461	3820833	89.5
Af_623	secondary	19.85	11.98	149	1251690	87.7
Af_624	secondary	34.33	21.91	527	2274618	86.0
Af_625	secondary	28.07	16.82	209	1826861	88.2
Af_626	secondary	16.72	9.84	168	1029789	86.7
Af_627	secondary	12.64	7.16	119	735753	85.7
Af_628	secondary	19.4	11.43	218	1230840	83.7
Af_629	secondary	106.21	76.3	732	7650414	89.0
Af_63	secondary	26.55	15.25	227	1617888	86.5
Af_630	secondary	20.29	11.87	164	1289251	87.0
Af_631	secondary	94.26	69.68	826	6817366	85.9
Af_632	secondary	30.44	16.54	216	2005221	87.7
Af_635	secondary	12.62	7.46	107	702108	84.2
Af_636	secondary	14.62	8.48	140	849927	87.1
Af_637	secondary	16.54	9.59	170	978735	87.2
Af_638	secondary	14.33	8.06	120	831308	84.8
Af_639	secondary	13.08	7.57	129	741093	84.6
Af_64	secondary	22.3	12.16	181	1329812	86.3
Af_640	secondary	19.35	11.58	169	1185102	85.1
Af_642	secondary	53.76	36.31	459	3570365	88.2
Af_643	secondary	69.78	49.96	785	4795270	84.2
Af_644	secondary	33.33	19.65	286	2208649	88.2
Af_646	secondary	42.16	29.09	424	2716490	87.2
Af_648	secondary	17.6	9.65	193	1114001	87.2
Af_649	secondary	23.89	12.92	228	1561574	88.1
Af_65	secondary	18.73	10.38	180	1082328	86.7
Af_650	secondary	17.75	9.35	160	1136101	85.2
Af_651	secondary	12.53	6.66	109	742786	85.2
Af_652	secondary	13.27	7.05	119	813551	84.9
Af_653	secondary	17.47	9.32	132	1114657	86.6
Af_654	secondary	68.63	41.84	524	4794387	87.9
Af_655	secondary	101.58	65.78	751	7254529	89.0
Af_656	secondary	28.84	16.28	251	1897905	85.7
Af_657	secondary	40.65	27.01	342	2704835	88.1
Af_658	secondary	50.77	35.05	474	3248353	87.6
Af_659	secondary	11.03	6.18	125	601615	85.1
Af_661	secondary	18.18	10.11	117	1113365	86.3
Af_662	secondary	18.27	10.27	142	1127615	88.2
Af_663	secondary	13.86	7.81	116	811233	86.2
Af_664	secondary	14.11	7.95	134	835942	86.5
Af_665	secondary	15.86	9.14	140	960102	85.4
Af_666	secondary	46.15	28.87	371	3043379	86.8
Af_667	secondary	88.2	59.86	689	6154882	88.2
Af_669	secondary	41.55	27.94	365	2750545	88.6
Af_67	secondary	20.14	11.43	231	1173813	84.8
Af_670	secondary	37.02	28.02	391	2292498	86.0
Af_671	secondary	16.37	9.16	129	1030280	86.9
Af_672	secondary	19.67	10.9	165	1271211	86.1
Af_673	secondary	24.19	13.2	201	1587314	87.9
Af_674	secondary	19.3	10.3	123	1253515	85.6
Af_675	secondary	15.86	8.91	126	1035268	86.8
Af_676	secondary	23.47	13.57	224	1568704	83.3
Af_677	secondary	24.57	13.8	184	1640040	85.7
Af_678	secondary	87.52	56.74	632	6298886	87.9
Af_679	secondary	101.49	67.93	743	7230442	88.0
Af_68	secondary	38.23	21.44	307	2374720	89.0
Af_680	secondary	33.5	18.6	257	2216166	86.1
Af_681	secondary	47.04	32.17	406	3151850	88.6
Af_682	secondary	44.31	30.71	475	2859569	87.7
Af_69	secondary	14.88	8.85	125	842768	76.0
Af_70	secondary	32.36	19.49	375	1980288	85.9
Af_71	secondary	30.42	18.49	368	1910097	79.6
Af_72	secondary	43.45	26.23	374	2837943	86.7
Af_74	secondary	17.07	9.46	146	969381	86.6
Af_75	secondary	20.88	11.8	204	1210693	83.7
Af_76	secondary	36.59	21.39	308	2277636	87.4
Af_77	secondary	19.74	11.63	157	1155219	86.3
Af_78	secondary	41.51	24.77	371	2672752	87.1
Af_8	secondary	19.7	11.09	193	1169246	83.3
Af_80	secondary	42.48	26.06	381	2707880	86.9
Af_81	secondary	12.82	7.4	135	660881	77.3
Af_83	secondary	34.06	19.72	266	2114459	86.8
Af_85	secondary	4.95	3.67	99	75318	44.6
Af_86	secondary	10.45	5.65	114	523360	81.4
Af_87	secondary	27.03	16.6	337	1553478	83.6
Af_88	secondary	22.37	12.07	194	1313869	84.7
Af_89	secondary	11.53	6.32	108	589914	81.6
Af_9	secondary	16.91	9.23	122	977097	84.6
Af_90	secondary	30.41	16.97	227	1839992	88.8
Af_91	secondary	10.38	5.5	87	488916	84.9
Af_92	secondary	33.14	19.19	277	2001237	87.0
Af_93	secondary	33.42	19.64	332	2105473	81.3
Af_94	secondary	38.84	24.85	418	2451699	81.4
Af_95	secondary	25.56	16.01	254	1530223	82.7
Af_96	secondary	10.71	5.56	116	547180	81.2
Af_97	secondary	16.22	11.55	240	919653	69.9
Af_99	secondary	29.17	16.79	246	1839269	87.7
Af_105-180	secondary	31.29	19.3	251	2080714	84.9
Af_110-149	secondary	40.29	25.36	334	2738516	86.1
Af_111-550	secondary	62.23	43.21	569	4475319	87.9
Af_115-262	secondary	48.49	31.29	400	3450696	87.4
Af_11-84	secondary	53.92	34.4	460	3578570	87.7
Af_122-328	secondary	44.86	28.74	411	3124927	87.3
Af_127-319	secondary	55.76	36.18	479	4032538	87.2
Af_131-168	secondary	58.29	38.09	527	4180654	86.0
Af_139-172-207	secondary	74.35	57.18	679	6074504	87.6
Af_144-181	secondary	46.35	28.3	370	3145431	88.5
Af_145-200	secondary	31.45	18.99	245	2096169	82.3
Af_148-151	secondary	53.82	34.45	486	3760985	86.3
Af_16-634	secondary	88.41	59.88	661	6280343	87.1
Af_176-229	secondary	22.77	13.79	189	1432182	85.0
Af_177-615	secondary	37.25	22.71	321	2562911	86.6
Af_178-28	secondary	38.68	22.73	318	2543602	87.5
Af_179-79	secondary	32.2	19.57	408	2032228	84.8
Af_182-499	secondary	38.32	24.99	350	2667387	86.2
Af_21-243-62	secondary	56.93	39.89	605	4007725	86.6
Af_226-57	secondary	22.58	15.49	258	1388270	75.7
Af_22-660	secondary	31.71	20.34	310	2095247	83.9
Af_23-604	secondary	35.77	21.87	283	2424852	87.4
Af_245-61	secondary	47.78	31.29	463	3287532	87.3
Af_259-42	secondary	35.45	22.2	289	2354479	85.6
Af_264-369	secondary	66.71	46.24	782	5097549	86.8
Af_269-66-73	secondary	91.73	65.04	858	7071738	88.2
Af_276-339	secondary	97.36	73.08	706	7706104	87.9
Af_309-380-482	secondary	102.14	82.38	805	8551206	88.0
Af_314-641	secondary	51.07	33.43	516	3559218	88.1
Af_330-645	secondary	47.99	30.29	437	3275624	88.0
Af_342-633	secondary	50.48	31.4	418	3436708	88.4
Af_347-82	secondary	64.88	42.54	575	4560651	87.6
Af_348-360	secondary	60.32	42.03	575	4342665	84.0
Af_373-7	secondary	39.13	24.6	359	2598206	86.8
Af_413-594	secondary	98.51	77.03	835	7507143	86.5
Af_416-479	secondary	68.55	46.44	516	4997367	86.1
Af_477-98	secondary	40.05	25.55	397	2677907	84.9
Af_47-605	secondary	42.66	27.74	579	2995617	85.3
Af_489-593	secondary	38.41	24.77	312	2557745	87.2
Af_501-551	secondary	72.12	48.59	620	5184491	87.6
Af_523-547	secondary	50.78	31.56	520	3503747	88.7
Af_527-543	secondary	49.2	30.92	452	3339020	89.2
Af_539-647	secondary	46.35	28.2	351	3227266	88.6
Af_552-606	secondary	86.46	62.49	820	6575009	86.9
Af_560-561	secondary	35	24.2	341	2535312	86.4
Af_570-571	secondary	47.08	30.24	465	3275820	87.9
Af_619-668	secondary	71.25	44.54	569	5038349	89.3
